project,repository,description,last activity,selected 
gerrit,chemclipse/org.eclipse.chemclipse.convertermassbank.git,Import/export of MassBank file format (*.txt).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.convertermz5.git,Import/export of HDF5 mz5 file format (*.mz5).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.convertermzdata.git,Import/export of mzData file format (*.mzData).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filemsdidentifier.git,Peak and mass spectrum identification using *.msl files.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filterbackfold.git,Chromatogram filter (Backfolding).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filtercoda.git,Chromatogram filter (CODA).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filterdenoising.git,Chromatogram filter (DENOISING).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filterfidzeroset.git,Chromatogram zero set filter.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filtermfremover.git,Chromatogram Ion remover filter.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.filtersavgolay.git,Chromatogram filter (Savitzky-Golay).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.identpeakmanual.git,Manual peak identification.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.matlabparafac.git,Import/export of Matlab/PARAFAC file format (*.mpl).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.mzmlconverter.git,Import/export of mzML file format (*.mzML).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.mzxmlmschrom.git,Import/export of mzXML file format (*.mzXML).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.occhromareport.git,Chromatogram report generator.,3 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.ocjcampdx.git,Import/export of JCAMP-DX file format (*.jdx).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.officeconnector.git,Application office connector.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakdeconvdetec.git,Peak detector (deconvolution).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakdetecchemst.git,Peak detector (first derivative).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakdetecmanual.git,Peak detector (manual).,12 days,0
gerrit,chemclipse/org.eclipse.chemclipse.peakdetecthird.git,Peak detector (third derivative).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakidentbatch.git,Peak identification batch job.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakintegrchems.git,Chromatogram and peak integrator (trapezoid).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.peakmax.git,Peak integrator (max signal),9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.processpeakspca.git,Chromatogram and peak PCA support.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.rtshifter.git,Chromatogram retention time shifter.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.sncalcdyson.git,Chromatogram S/N calculator (Dyson).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.sncalcstein.git,Chromatogram S/N calculator (Stein).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.subtractfilter.git,Mass spectrum subtraction support.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.sumarea.git,Chromatogram integrator (summed m/z area).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.utils.git,Developer utils.,2 months,0
gerrit,chemclipse/org.eclipse.chemclipse.xpassmsfilter.git,High and low pass m/z filter.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.xyconverter.git,Import/export of xy file format (*.xy).,5 weeks,0
gerrit,collections/collections.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
gerrit,dash/org.eclipse.dash.handbook.git,Sources for the Eclipse Project Handbook,7 weeks,0
gerrit,diffmerge/org.eclipse.emf.diffmerge.coevolution.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
gerrit,diffmerge/org.eclipse.emf.diffmerge.core.git,EMF Diff/Merge,5 weeks,0
gerrit,diffmerge/org.eclipse.emf.diffmerge.patterns.git,Modeling Patterns based on EMF Diff/Merge.,5 weeks,0
gerrit,dltk/org.eclipse.dltk.all.git,DLTK (All),5 days,0
gerrit,dltk/org.eclipse.dltk.core.git,dltk.core,5 days,0
gerrit,dltk/org.eclipse.dltk.examples.git,,18 months,0
gerrit,dltk/org.eclipse.dltk.javascript.git,,5 days,0
gerrit,dltk/org.eclipse.dltk.python.git,,5 days,0
gerrit,dltk/org.eclipse.dltk.releng.git,,5 days,0
gerrit,dltk/org.eclipse.dltk.ruby.git,,5 days,0
gerrit,dltk/org.eclipse.dltk.sh.git,"Unnamed repository, edit this file 'description' to name the repository.",6 hours,0
gerrit,dltk/org.eclipse.dltk.tcl.git,,5 days,0
gerrit,e4/org.eclipse.e4.databinding.git,,9 months,0
gerrit,e4/org.eclipse.e4.deeplink.git,Not used anymore,4 weeks,0
gerrit,e4/org.eclipse.e4.installer.git,Not used anymore,4 weeks,0
gerrit,e4/org.eclipse.e4.languages.git,Not used anymore,4 weeks,0
gerrit,e4/org.eclipse.e4.resources.git,Not used anymore,4 weeks,0
gerrit,e4/org.eclipse.e4.search.git,Not used anymore,4 weeks,0
gerrit,e4/org.eclipse.e4.tools.git,,5 weeks,0
gerrit,e4/org.eclipse.e4.ui.git,Several plug-ins from this Git repository have been migrated to eclipse.platform...,9 weeks,0
gerrit,e4/org.eclipse.e4.utils.git,Not used anymore,4 weeks,0
gerrit,ease/org.eclipse.ease.core.git,EASE core components and engines,12 days,0
gerrit,ease/org.eclipse.ease.modules.git,EASE modules,5 days,0
gerrit,ease/org.eclipse.ease.scripts.git,EASE sample scripts,12 days,0
gerrit,eavp/eavp.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,0
gerrit,ecf/org.eclipse.ecf.git,Eclipse Communication Framework,3 days,0
gerrit,eclemma/org.eclipse.eclemma.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,eclipsescada/org.eclipse.scada.base.git,Eclipse SCADA (Base),5 days,0
gerrit,eclipsescada/org.eclipse.scada.chart.git,Eclipse SCADA (Chart),5 days,0
gerrit,eclipsescada/org.eclipse.scada.core.git,Eclipse SCADA (Core),5 days,0
gerrit,eclipsescada/org.eclipse.scada.deploy.git,Eclipse SCADA (Deploy),5 days,0
gerrit,eclipsescada/org.eclipse.scada.external.git,Eclipse SCADA (External),5 days,0
gerrit,eclipsescada/org.eclipse.scada.hmi.git,Eclipse SCADA (HMI),5 days,0
gerrit,eclipsescada/org.eclipse.scada.ide.git,Eclipse SCADA (IDE),5 days,0
gerrit,eclipsescada/org.eclipse.scada.protocols.git,Eclipse SCADA (Protocols),5 days,0
gerrit,eclipsescada/org.eclipse.scada.releng.git,Eclipse SCADA (Releng),8 min.,0
gerrit,eclipsescada/org.eclipse.scada.samples.git,Eclipse SCADA (Samples),2 years,0
gerrit,eclipsescada/org.eclipse.scada.utils.git,Eclipse SCADA (Utils),5 days,0
gerrit,ecoretools/org.eclipse.ecoretools.git,EMF EcoreTools git repository,6 weeks,0
gerrit,edapt/org.eclipse.emf.edapt.git,The one and only Edapt Git Repository at Eclipse.org,5 days,0
gerrit,edje/edje.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,eef/org.eclipse.eef.git,,5 days,0
gerrit,efm.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,efm/efm.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
gerrit,efm/org.eclipse.efm-modeling.git,,22 hours,0
gerrit,efm/org.eclipse.efm-symbex.git,,3 months,0
gerrit,efxclipse/org.eclipse.efxclipse.git,JavaFX Tooling and Runtime for Eclipse and OSGi,20 hours,0
gerrit,efxclipse/org.eclipse.efxclipse.travisci.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
gerrit,egerrit/org.eclipse.egerrit.git,"Unnamed repository, edit this file 'description' to name the repository.",17 hours,0
gerrit,egf/org.eclipse.emf.egf.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,egit/egit-github.git,GitHub Mylyn integration (technology.egit),4 weeks,0
gerrit,egit/egit-pde.git,EGit related PDE Tools (technology.egit),3 years,0
gerrit,egit/egit.git,Eclipse Git Team Provider (technology.egit),27 hours,0
gerrit,emf-parsley/org.eclipse.emf-parsley.git,EMF Parsley,5 days,0
gerrit,emf-store/org.eclipse.emf.emfstore.core.git,emf store project repository,5 days,0
gerrit,emf/org.eclipse.emf.eson.git,EMF Simple Object Notation - https://wiki.eclipse.org/ESON,9 weeks,0
gerrit,emf/org.eclipse.emf.git,EMF,3 weeks,0
gerrit,emfclient/org.eclipse.emf.ecp.core.git,,5 days,0
gerrit,emfcompare/acceptance-submodules/testGitExtLibrary.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,emfcompare/acceptance-submodules/testGitExtLibraryID.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,emfcompare/acceptance-submodules/testGitUML.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,emfcompare/acceptance-submodules/testGitUMLDesigner.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,emfcompare/acceptance-submodules/testGitUMLStereotyped.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,emfcompare/org.eclipse.emf.compare-acceptance.git,EMF Compare Acceptance Tests,5 weeks,0
gerrit,emfcompare/org.eclipse.emf.compare-cli.git,"Unnamed repository, edit this file 'description' to name the repository.",19 months,0
gerrit,emfcompare/org.eclipse.emf.compare-releng.git,[no description],11 months,0
gerrit,emfcompare/org.eclipse.emf.compare.git,Model comparison integrated tool and framework,5 days,0
gerrit,epp/org.eclipse.epp.doc.release.git,Eclipse Packaging Project (EPP) - Release Review Documentation,5 years,0
gerrit,epp/org.eclipse.epp.logging.git,EPP Logging,5 days,0
gerrit,epp/org.eclipse.epp.old.git,Eclipse Packaging Project (EPP) - Unmaintained code: wizard, installer, ...,5 years,0
gerrit,epp/org.eclipse.epp.packages.git,Eclipse Packaging Project (EPP) - *** The Packages ***,3 hours,0
gerrit,epp/org.eclipse.epp.usagedata.git,Eclipse Packaging Project (EPP) - Usage Data Collector (UDC),5 years,0
gerrit,equinox/rt.equinox.binaries.git,Repository for the Equinox launcher binaries.,20 hours,0
gerrit,equinox/rt.equinox.bundles.git,Equinox Bundles,5 days,0
gerrit,equinox/rt.equinox.framework.git,Equinox Framework,20 hours,0
gerrit,equinox/rt.equinox.p2.git,Equinox P2,5 days,0
gerrit,etrice/org.eclipse.etrice.git,eTrice,6 hours,0
gerrit,facet/org.eclipse.emf.facet.main.git,facet project repository,5 days,0
gerrit,franca/org.eclipse.franca.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,gemini.blueprint/org.eclipse.gemini.blueprint.git,,8 months,0
gerrit,gemini.dbaccess/org.eclipse.gemini.dbaccess.git,gemini.dbaccess project repository,2 years,0
gerrit,gendoc/org.eclipse.gendoc.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
gerrit,geoperil/org.eclipse.geoperil.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,gmf-tooling/org.eclipse.gmf-tooling.git,gmf tooling project repository,7 months,0
gerrit,golo/org.eclipse.golo.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
gerrit,graphiti/org.eclipse.graphiti.git,Graphiti,26 hours,0
gerrit,gyrex/examples/gyrex-bugsearch.git,,3 years,0
gerrit,gyrex/examples/gyrex-fanshop.git,,3 years,0
gerrit,gyrex/examples/gyrex-hello-cloud.git,,3 years,0
gerrit,handly/org.eclipse.handly.git,Handly,29 hours,0
gerrit,hawkbit/hawkbit.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
gerrit,henshin/org.eclipse.emft.henshin.git,modeling.emft.henshin project repository,5 days,0
gerrit,hono/hono.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
gerrit,hudson/org.eclipse.hudson.core.git,Hudson Core,7 months,0
gerrit,hudson/org.eclipse.hudson.maven-hpi-plugin.git,Maven Plugin to create, run, and debug Hudson plugins,3 years,0
gerrit,hudson/org.eclipse.hudson.stapler.git,Hudson Stapler Module,13 months,0
gerrit,hudson/org.eclipse.hudson.test.harness.git,Hudson Test Harness module,20 months,0
gerrit,hudson/org.eclipse.hudson.test.ui.git,Hudson Selenium based UI test module,3 years,0
gerrit,ignite/org.eclipse.ignite.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,intent/org.eclipse.mylyn.docs.intent.main.git,Intent project repository,6 months,0
gerrit,iofog/org.eclipse.iofog.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,january/january.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,jdt/eclipse.jdt.core.binaries.git,Eclipse JDT Core tests (only org.eclipse.jdt.core.tests.binaries),5 days,0
gerrit,jdt/eclipse.jdt.core.git,Eclipse JDT Core,19 hours,0
gerrit,jdt/eclipse.jdt.debug.git,Eclipse JDT Debug,32 hours,0
gerrit,jdt/eclipse.jdt.git,Eclipse JDT Features,5 days,0
gerrit,jdt/eclipse.jdt.ui.git,Eclipse JDT UI,2 hours,0
gerrit,jdtls/org.eclipse.jdtls.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,jeetools/webtools.ejb.git,ejb project repository,2 months,0
gerrit,jeetools/webtools.javaee.git,jeetools project repository,2 months,0
gerrit,jeetools/webtools.javaee.tests.git,jeetools project repository,17 months,0
gerrit,jetty/org.eclipse.jetty.project.git,Jetty: primary project repository,3 months,0
gerrit,jetty/org.eclipse.jetty.releng.bundles.git,Jetty: eclipse release bundles,5 months,0
gerrit,jetty/org.eclipse.jetty.releng.products.git,Jetty: eclipse products repository,3 years,0
gerrit,jetty/org.eclipse.jetty.sandbox.git,Jetty Sandbox,3 years,0
gerrit,jetty/org.eclipse.jetty.wtp.git,Jetty WTP,3 years,0
gerrit,jgit/jgit.git,Java implementation of Git (technology.jgit),28 hours,0
gerrit,jsdt/jsdt-parent.git,Permissions for JSDT,3 years,0
gerrit,jsdt/webtools.jsdt.core.git,JavaScript Development Tools (Core) (Archived, versions up to 3.5.x),3 years,0
gerrit,jsdt/webtools.jsdt.debug.git,JavaScript Development Tools (Debug) (Archived, versions up to 3.5.x),3 years,0
gerrit,jsdt/webtools.jsdt.git,JavaScript Development Tools,12 days,0
gerrit,jsdt/webtools.jsdt.tests.git,JavaScript Development Tools (Tests) (Archived, versions up to 3.5.x),2 years,0
gerrit,jsf/webtools.jsf.docs.git,jsf project repository,6 months,0
gerrit,jsf/webtools.jsf.git,jsf project repository,3 months,0
gerrit,jsf/webtools.jsf.tests.git,jsf project repository,12 days,0
gerrit,jubula/org.eclipse.jubula.ci.git,"Unnamed repository, edit this file 'description' to name the repository.",9 months,0
gerrit,jubula/org.eclipse.jubula.core.git,Jubula Functional Testing Tool,27 hours,0
gerrit,kapua/org.eclipse.kapua.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
gerrit,linuxtools/org.eclipse.linuxtools.eclipse-build.git,,9 weeks,0
gerrit,linuxtools/org.eclipse.linuxtools.git,Linux Tools,17 hours,0
gerrit,lsp4e/lsp4e.git,,26 hours,0
gerrit,lsp4j/org.eclipse.lsp4j.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,lyo/org.eclipse.lyo.adapter.magicdraw.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,lyo/org.eclipse.lyo.adapter.simulink.git,[no description],8 months,0
gerrit,lyo/org.eclipse.lyo.client.git,Lyo client libraries and sample code,5 days,0
gerrit,lyo/org.eclipse.lyo.core.git,Lyo core libraries and SDKs,5 days,0
gerrit,lyo/org.eclipse.lyo.docs.git,Lyo documentation, tutorials and workshops,8 months,0
gerrit,lyo/org.eclipse.lyo.ldp.git,,8 months,0
gerrit,lyo/org.eclipse.lyo.rio.git,Lyo reference implementations for OSLC (RIOs),8 months,0
gerrit,lyo/org.eclipse.lyo.server.git,Lyo service provider sample code and sample adapter implementations,8 months,0
gerrit,lyo/org.eclipse.lyo.testsuite.git,Lyo OSLC test suites and reports,8 months,0
gerrit,lyo/org.eclipse.lyo.tools.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
gerrit,m2e-wtp/org.eclipse.m2e.wtp.git,m2e-wtp main source repository,7 weeks,0
gerrit,m2e-wtp/org.eclipse.m2e.wtp.jpa.git,m2e wtp project repository,3 months,0
gerrit,m2e/m2e-core.git,m2e main repository.,12 days,0
gerrit,m2e/m2e-discovery-catalog.git,m2e extension catalog repository.,2 years,0
gerrit,m2e/org.eclipse.m2e.workspace.git,[no description],19 months,0
gerrit,mangrove/org.eclipse.mangrove.git,soa.mangrove project repository,22 months,0
gerrit,mat/org.eclipse.mat.git,"Unnamed repository, edit this file 'description' to name the repository.",2 days,0
gerrit,mdht/org.eclipse.mdht.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
gerrit,mdmbl/org.eclipse.mdm.api.base.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
gerrit,mdmbl/org.eclipse.mdm.api.default.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
gerrit,mdmbl/org.eclipse.mdm.api.odsadapter.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
gerrit,mdmbl/org.eclipse.mdm.api.uml.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
gerrit,mdmbl/org.eclipse.mdm.mdfsorter.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,mdmbl/org.eclipse.mdm.nucleus.git,"Unnamed repository, edit this file 'description' to name the repository.",24 hours,0
gerrit,mdmbl/org.eclipse.mdm.openatfx.mdf.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,mdmbl/org.eclipse.mdm.realms.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,mdmbl/org.eclipse.mdmbl.git,"Unnamed repository, edit this file 'description' to name the repository.",14 months,0
gerrit,milo/milo.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,mmt/org.eclipse.qvtd.git,mmt project repository,5 days,0
gerrit,modisco/org.eclipse.modisco.git,"Unnamed repository, edit this file 'description' to name the repository.",2 days,0
gerrit,mosquitto/org.eclipse.mosquitto.git,mosquitto project repository,9 months,0
gerrit,mosquitto/org.eclipse.mosquitto.rsmb.git,Really Small Message Broker,2 years,0
gerrit,mpc/org.eclipse.epp.mpc.git,Marketplace Client,4 weeks,0
gerrit,mylyn/org.eclipse.mylyn.all.git,Mylyn (All),41 hours,0
gerrit,mylyn/org.eclipse.mylyn.builds.git,Mylyn (Builds),5 days,0
gerrit,mylyn/org.eclipse.mylyn.commons.git,Mylyn Commons,5 days,0
gerrit,mylyn/org.eclipse.mylyn.context.git,Mylyn Context,6 weeks,0
gerrit,mylyn/org.eclipse.mylyn.context.mft.git,Mylyn Context MFT,24 months,0
gerrit,mylyn/org.eclipse.mylyn.docs.git,Mylyn Docs,41 hours,0
gerrit,mylyn/org.eclipse.mylyn.docs.vex.git,Mylyn Docs Vex,4 months,0
gerrit,mylyn/org.eclipse.mylyn.git,Mylyn,12 days,0
gerrit,mylyn/org.eclipse.mylyn.incubator.git,Mylyn (Incubator),5 months,0
gerrit,mylyn/org.eclipse.mylyn.reviews.git,Mylyn Reviews,5 days,0
gerrit,mylyn/org.eclipse.mylyn.tasks.git,Mylyn Tasks,5 days,0
gerrit,mylyn/org.eclipse.mylyn.versions.git,Mylyn Versions,9 weeks,0
gerrit,nattable/org.eclipse.nebula.widgets.nattable.experimental.git,NatTable Experimental,3 years,0
gerrit,nattable/org.eclipse.nebula.widgets.nattable.git,High performance SWT data grid,3 days,0
gerrit,nebula/org.eclipse.nebula.git,Nebula,21 hours,0
gerrit,ocl/org.eclipse.ocl.git,OCL,2 days,0
gerrit,ogee/org.eclipse.ogee.git,Ogee,8 months,0
gerrit,om2m/om2m-legacy.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,0
gerrit,om2m/org.eclipse.om2m.git,om2m project repository,5 days,0
gerrit,omr/omr.git,"Unnamed repository, edit this file 'description' to name the repository.",9 months,0
gerrit,oomph/org.eclipse.oomph.git,Oomph main repository,15 min.,0
gerrit,oomph/org.eclipse.oomph.incubator.git,Oomph incubating components,5 months,0
gerrit,oomph/org.eclipse.oomph.setups.git,Oomph setup models,5 months,0
gerrit,oomph/uss.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,openk-platform/org.eclipse.openk-platform.openk-repo.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
gerrit,orbit/orbit-recipes.git,Recipes for Orbit bundles.,5 days,0
gerrit,orion/org.eclipse.orion.client.git,Orion Client,16 hours,0
gerrit,orion/org.eclipse.orion.marketplace.git,Orion Marketplace,3 years,0
gerrit,orion/org.eclipse.orion.server.git,Orion Server,12 days,0
gerrit,orion/orion-parent.git,Permissions for Orion project,16 months,0
gerrit,osbp/osbp.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
gerrit,osee/org.eclipse.osee.git,OSEE,5 days,0
gerrit,osee/org.eclipse.ote.git,OSEE OTE,5 days,0
gerrit,paho/org.eclipse.paho.apps.git,MQTT sample and example applications,2 years,0
gerrit,paho/org.eclipse.paho.esf.git,MQTT Application Framework,2 years,0
gerrit,paho/org.eclipse.paho.mqtt-sn.apps.git,MQTT-SN reference code and sample applications,2 years,0
gerrit,paho/org.eclipse.paho.mqtt.embedded-c.git,MQTT Client Package - C for embedded devices,16 months,0
gerrit,paho/org.eclipse.paho.mqtt.lua.git,MQTT Client Package - Lua language,8 months,0
gerrit,paho/org.eclipse.paho.mqtt.objc.git,MQTT Client Package - Objective-C Language,2 years,0
gerrit,papyrus-rt/org.eclipse.papyrus-rt.git,,5 days,0
gerrit,papyrus-xtuml/papyrus-xtuml.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
gerrit,papyrus/org.eclipse.papyrus-designer-extra.git,Papyrus Designer Extra,4 months,0
gerrit,papyrus/org.eclipse.papyrus-designer.git,Papyrus for Designer,2 days,0
gerrit,papyrus/org.eclipse.papyrus-informationmodeling.git,Papyrus for Information Modeling,5 days,0
gerrit,papyrus/org.eclipse.papyrus-marte.git,Papyrus Marte,2 months,0
gerrit,papyrus/org.eclipse.papyrus-moka.git,Papyrus model execution framework,2 days,0
gerrit,papyrus/org.eclipse.papyrus-productline.git,Papyrus for productline,8 months,0
gerrit,papyrus/org.eclipse.papyrus-robotml.git,Papyrus for Robotml,2 months,0
gerrit,papyrus/org.eclipse.papyrus-sysml.git,Papyrus for Sysml,24 hours,0
gerrit,papyrus/org.eclipse.papyrus.git,modeling.mdt.papyrus project repository,5 hours,0
gerrit,papyrus/org.eclipse.papyrus.tools.git,Papyrus Tools,5 days,0
gerrit,pde/eclipse.pde.build.git,Eclipse PDE Build,5 days,0
gerrit,pde/eclipse.pde.git,Eclipse PDE (Merged in eclipse.pde.ui.git post 4.6M5),6 months,0
gerrit,pde/eclipse.pde.ui.git,Eclipse PDE UI,22 hours,0
gerrit,pdt/org.eclipse.pdt.git,Eclipse PDT,47 hours,0
gerrit,permissions/4diac-dev.git,[no description],10 months,0
gerrit,permissions/agail-dev.git,,3 weeks,0
gerrit,permissions/amalgam-dev.git,[no description],20 months,0
gerrit,permissions/app4mc-dev.git,,5 months,0
gerrit,permissions/b612-dev.git,,6 weeks,0
gerrit,permissions/babel.git,Babel projects permissions container,10 months,0
gerrit,permissions/blueprint-dev.git,,14 months,0
gerrit,permissions/bpmn2.git,[no description],11 months,0
gerrit,permissions/callisto-dev.git,,2 years,0
gerrit,permissions/camf-dev.git,[no description],22 months,0
gerrit,permissions/capra-dev.git,,2 months,0
gerrit,permissions/cdt-dev.git,,2 years,0
gerrit,permissions/cft-dev.git,,11 months,0
gerrit,permissions/chemclipse-dev.git,[no description],5 days,0
gerrit,permissions/collections-dev.git,,11 months,0
gerrit,permissions/concierge-dev.git,,13 months,0
gerrit,permissions/dash-dev.git,[no description],13 months,0
gerrit,permissions/e4.git,,23 months,0
gerrit,permissions/eavp-dev.git,,5 days,0
gerrit,permissions/eclemma-dev.git,,4 months,0
gerrit,permissions/edapt-dev.git,[no description],22 months,0
gerrit,permissions/edje-dev.git,,8 months,0
gerrit,permissions/eef.git,[no description],7 months,0
gerrit,permissions/efm-dev.git,,2 months,0
gerrit,permissions/egerrit.git,[no description],19 months,0
gerrit,permissions/elk-dev.git,,15 months,0
gerrit,permissions/epp-dev.git,[no description],21 months,0
gerrit,permissions/equinox-dev.git,[no description],8 months,0
gerrit,permissions/franca-dev.git,,15 months,0
gerrit,permissions/gendoc-dev.git,[no description],5 months,0
gerrit,permissions/geoperil-dev.git,,3 months,0
gerrit,permissions/golo-dev.git,[no description],18 months,0
gerrit,permissions/graphiti-dev.git,[no description],14 months,0
gerrit,permissions/hawkbit-dev.git,,4 weeks,0
gerrit,permissions/hono-dev.git,,10 months,0
gerrit,permissions/ice-dev.git,[no description],5 days,0
gerrit,permissions/ignite-dev.git,,3 months,0
gerrit,permissions/intent.git,[no description],17 months,0
gerrit,permissions/iofog-dev.git,,3 months,0
gerrit,permissions/iot.eclipsescada.git,[no description],2 years,0
gerrit,permissions/iot.mosquitto.git,,2 years,0
gerrit,permissions/iot.paho.git,[no description],19 months,0
gerrit,permissions/january-dev.git,,5 days,0
gerrit,permissions/jdtls-dev.git,,3 months,0
gerrit,permissions/jeetools.git,[no description],17 months,0
gerrit,permissions/jsf-dev.git,Permissions project for Webtools JSF projects,15 months,0
gerrit,permissions/jubula-dev.git,[no description],10 months,0
gerrit,permissions/kapua-dev.git,,5 months,0
gerrit,permissions/lsp4e-dev.git,,4 weeks,0
gerrit,permissions/lsp4j-dev.git,,3 months,0
gerrit,permissions/lyo-dev.git,[no description],8 months,0
gerrit,permissions/mdht-dev.git,,13 months,0
gerrit,permissions/mdmbl-dev.git,[no description],17 months,0
gerrit,permissions/milo-dev.git,,8 months,0
gerrit,permissions/modeling.emf.diffmerge.git,[no description],17 months,0
gerrit,permissions/modeling.emfcompare.git,[no description],7 months,0
gerrit,permissions/modeling.emfstore.git,[no description],3 years,0
gerrit,permissions/modeling.mdt.ocl.git,[no description],2 years,0
gerrit,permissions/modeling.mdt.rmf.git,[no description],2 years,0
gerrit,permissions/modeling.mmt.qvtd.git,[no description],2 years,0
gerrit,permissions/modeling.sirius.git,[no description],2 years,0
gerrit,permissions/modeling.viatra.git,[no description],8 weeks,0
gerrit,permissions/modisco-dev.git,[no description],18 months,0
gerrit,permissions/om2m-dev.git,[no description],12 months,0
gerrit,permissions/omr-dev.git,,9 months,0
gerrit,permissions/oomph-dev.git,[no description],5 months,0
gerrit,permissions/openk-dev.git,[no description],19 months,0
gerrit,permissions/osbp-dev.git,,7 months,0
gerrit,permissions/package-drone-dev.git,[no description],17 months,0
gerrit,permissions/papyrus-dev.git,[no description],12 days,0
gerrit,permissions/papyrus-rt-dev.git,[no description],19 months,0
gerrit,permissions/papyrus-xtuml-dev.git,,5 months,0
gerrit,permissions/platform.releng-dev.git,[no description],4 weeks,0
gerrit,permissions/platform.ui.git,[no description],19 months,0
gerrit,permissions/pmf-dev.git,,10 months,0
gerrit,permissions/rap-incubator.git,[no description],17 months,0
gerrit,permissions/rap.git,[no description],17 months,0
gerrit,permissions/rdf4j-dev.git,[no description],18 months,0
