project,repository,description,last activity,selected 
chemclipse,org.eclipse.chemclipse.filterbackfold.git,Chromatogram filter (Backfolding).,9 weeks,1
chemclipse,org.eclipse.chemclipse.filtercoda.git,Chromatogram filter (CODA).,9 weeks,1
chemclipse,org.eclipse.chemclipse.filterdenoising.git,Chromatogram filter (DENOISING).,9 weeks,1
chemclipse,org.eclipse.chemclipse.filterfidzeroset.git,Chromatogram zero set filter.,9 weeks,1
chemclipse,org.eclipse.chemclipse.filtermfremover.git,Chromatogram Ion remover filter.,9 weeks,1
chemclipse,org.eclipse.chemclipse.filtersavgolay.git,Chromatogram filter (Savitzky-Golay).,9 weeks,1
chemclipse,org.eclipse.chemclipse.identpeakmanual.git,Manual peak identification.,9 weeks,1
chemclipse,org.eclipse.chemclipse.matlabparafac.git,Import/export of Matlab/PARAFAC file format (*.mpl).,9 weeks,1
chemclipse,org.eclipse.chemclipse.mzmlconverter.git,Import/export of mzML file format (*.mzML).,9 weeks,1
chemclipse,org.eclipse.chemclipse.mzxmlmschrom.git,Import/export of mzXML file format (*.mzXML).,9 weeks,1
chemclipse,org.eclipse.chemclipse.occhromareport.git,Chromatogram report generator.,3 weeks,1
chemclipse,org.eclipse.chemclipse.ocjcampdx.git,Import/export of JCAMP-DX file format (*.jdx).,9 weeks,1
chemclipse,org.eclipse.chemclipse.officeconnector.git,Application office connector.,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakdeconvdetec.git,Peak detector (deconvolution).,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakdetecchemst.git,Peak detector (first derivative).,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakdetecmanual.git,Peak detector (manual).,12 days,1
chemclipse,org.eclipse.chemclipse.peakdetecthird.git,Peak detector (third derivative).,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakidentbatch.git,Peak identification batch job.,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakintegrchems.git,Chromatogram and peak integrator (trapezoid).,9 weeks,1
chemclipse,org.eclipse.chemclipse.peakmax.git,Peak integrator (max signal),9 weeks,1
chemclipse,org.eclipse.chemclipse.processpeakspca.git,Chromatogram and peak PCA support.,9 weeks,1
chemclipse,org.eclipse.chemclipse.rtshifter.git,Chromatogram retention time shifter.,9 weeks,1
chemclipse,org.eclipse.chemclipse.sncalcdyson.git,Chromatogram S/N calculator (Dyson).,9 weeks,1
chemclipse,org.eclipse.chemclipse.sncalcstein.git,Chromatogram S/N calculator (Stein).,9 weeks,1
