project_id,project_name,repository_name
99,mmt,org.eclipse.qvtd.git
100,modisco,org.eclipse.modisco.git
101,mosquitto,org.eclipse.mosquitto.git
102,mpc,org.eclipse.epp.mpc.git
103,mtj,org.eclipse.mtj.git
104,mylyn,org.eclipse.mylyn.incubator.git
104,mylyn,org.eclipse.mylyn.context.git
104,mylyn,org.eclipse.mylyn.commons.git
104,mylyn,org.eclipse.mylyn.all.git
104,mylyn,org.eclipse.mylyn.git
105,nattable,org.eclipse.nebula.widgets.nattable.git
106,nebula,org.eclipse.nebula.git
107,objectteams,org.eclipse.objectteams.git
108,ocl,org.eclipse.ocl.git
109,ogee,org.eclipse.ogee.git
110,om2m,org.eclipse.om2m.git
112,oomph,org.eclipse.oomph.git
114,orbit,orbit-recipes.git
115,orion,org.eclipse.orion.client.git
115,orion,org.eclipse.orion.server.git
117,osee,org.eclipse.ote.git
117,osee,org.eclipse.osee.git
118,papyrus,org.eclipse.papyrus-productline.git
118,papyrus,org.eclipse.papyrus-marte.git
118,papyrus,org.eclipse.papyrus.git
118,papyrus,org.eclipse.papyrus-robotml.git
118,papyrus,org.eclipse.papyrus-designer-extra.git
118,papyrus,org.eclipse.papyrus-informationmodeling.git
118,papyrus,org.eclipse.papyrus-moka.git
118,papyrus,org.eclipse.papyrus-sysml.git
118,papyrus,org.eclipse.papyrus-designer.git
119,pde,eclipse.pde.ui.git
120,pdt,org.eclipse.pdt.git
122,planeteclipse.org,planeteclipse.org.git
123,platform,eclipse.platform.runtime.git
127,pmf,org.eclipse.pmf.git
128,rap,org.eclipse.rap.tools.git
129,ptp,org.eclipse.photran.git
128,rap,org.eclipse.rap.git
129,ptp,org.eclipse.remote.git
135,recommenders,org.eclipse.recommenders.git
129,ptp,org.eclipse.ptp.git
142,recommenders.incubator,org.eclipse.recommenders.privacy.git
143,riena,org.eclipse.riena.git
142,recommenders.incubator,org.eclipse.recommenders.snipmatch.git
144,rmf,org.eclipse.rmf.git
145,rtsc,org.eclipse.rtsc.xdccore.git
146,sandbox,egit-training.git
147,sapphire,org.eclipse.corundum.git
147,sapphire,org.eclipse.sapphire.git
149,scout,org.eclipse.scout-aggregator.git
149,scout,org.eclipse.scout.sdk.git
150,servertools,webtools.servertools.git
149,scout,org.eclipse.scout.rt.git
143,riena,org.eclipse.riena.rap.git
153,sirius,org.eclipse.sirius.git
154,sisu,org.eclipse.sisu.inject.git
154,sisu,org.eclipse.sisu.plexus.git
154,sisu,org.eclipse.sisu.mojos.git
155,skalli,org.eclipse.skalli.git
156,smila,org.eclipse.smila.core.git
129,ptp,org.eclipse.ptp.master.git
157,sourceediting,webtools.sourceediting.git
158,sphinx,org.eclipse.sphinx.git
149,scout,scout.rt.incubator.git
159,stardust,org.eclipse.stardust.engine.git
161,stem,org.eclipse.stem.git
123,platform,eclipse.platform.ua.git
163,swtbot,org.eclipse.swtbot.git
159,stardust,org.eclipse.stardust.ide.simulation.git
159,stardust,org.eclipse.stardust.reporting.rt.git
165,texo,org.eclipse.emf.texo.git
159,stardust,org.eclipse.stardust.ui.web.git
164,tcf,org.eclipse.tcf.git
166,tigerstripe,org.eclipse.tigerstripe.git
128,rap,incubator-org.eclipse.rap.incubator.chart.git
128,rap,incubator-org.eclipse.rap.incubator.e4.git
128,rap,incubator-org.eclipse.rap.incubator.richtext.git
123,platform,eclipse.platform.swt.git
170,tm,org.eclipse.tm.terminal.git
171,tracecompass,org.eclipse.tracecompass.git
170,tm,org.eclipse.tm.git
172,tycho,org.eclipse.tycho.git
173,uml2,org.eclipse.uml2.git
159,stardust,org.eclipse.stardust.components.git
128,rap,incubator-org.eclipse.rap.incubator.gef.git
175,umlgen,org.eclipse.umlgen.git
123,platform,eclipse.platform.resources.git
123,platform,eclipse.platform.text.git
123,platform,eclipse.platform.ui.tools.git
123,platform,eclipse.platform.team.git
123,platform,eclipse.platform.git
123,platform,eclipse.platform.debug.git
